"Package","Version"
"tidyverse","2.0.0"
"data.table","1.18.4"
"dplyr","1.2.1"
"tibble","3.3.1"
"readr","2.2.0"
"tidyr","1.3.2"
"reshape2","1.4.5"
"ggplot2","4.0.3"
"ggpubr","1.0.0"
"ggsignif","0.6.4"
"ggsci","5.2.0"
"ggvenn","0.1.19"
"patchwork","1.3.2"
"pheatmap","1.0.13"
"limma","3.68.4"
"clusterProfiler","4.20.0"
"WGCNA","1.74"
"survival","3.8.9"
"survminer","0.5.2"
"glmnet","5.0"
"caret","7.0.1"
"timeROC","0.4.1"
"rms","8.1.1"
"riskRegression","2026.3.11"
"Seurat","5.5.1"
"harmony","2.0.5"
"SingleR","2.14.1"
"celldex","1.22.0"
"monocle","2.40.0"
"CellChat","1.6.1"
"kBET","0.99.6"
"GSVA",NA
"IOBR",NA
"CIBERSORT",NA
"estimate",NA
"scRNAtoolVis","0.1.0"
"rio",NA
