"Package","Version"
"tidyverse","2.0.0"
"data.table","1.17.8"
"dplyr","1.2.0"
"tibble","3.3.0"
"readr","2.1.6"
"tidyr","1.3.2"
"reshape2","1.4.4"
"ggplot2","4.0.1"
"ggpubr","0.6.2"
"ggsignif","0.6.4"
"ggsci","4.1.0"
"ggvenn","0.1.19"
"patchwork","1.3.2"
"pheatmap","1.0.13"
"limma","3.64.3"
"clusterProfiler","4.16.0"
"WGCNA","1.73"
"survival","3.8.3"
"survminer","0.5.1"
"glmnet","4.1.10"
"caret","7.0.1"
"timeROC","0.4"
"rms","8.1.0"
"riskRegression","2025.9.17"
"Seurat","5.4.0"
"harmony","1.2.4"
"SingleR","2.10.0"
"celldex","1.18.0"
"monocle","2.36.9213"
"CellChat","1.6.1"
"kBET",NA
"GSVA","2.2.1"
"IOBR","0.99.0"
"CIBERSORT","0.1.0"
"estimate","1.0.13"
"scRNAtoolVis","0.1.0"
"rio","1.2.4"
